id,type,display,image,source,document_global_id,image_crop_x,image_crop_y,image_crop_w,image_crop_h,created_at,updated_at,iiif_region,iiif_manifest_url,iiif_canvas_id,iiif_image_id,iiif_tilesource
130,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"408,363,4415,4493",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll91:1599/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll91:1599/info.json
131,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,2026-08-27 02:40:12.782190,"161,1194,2089,1948",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll207:30/manifest.json,https://cdm16022.contentdm.oclc.org/iiif/p16022coll207:25/canvas/c0,https://cdm16022.contentdm.oclc.org/iiif/p16022coll207:25/annotation/a0,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll207:25/info.json
132,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"1039,2240,4591,4591",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll203:95/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll203:95/info.json
134,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"443,38,2064,2208",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll137:408/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll137:408/info.json
135,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"54,28,2719,2389",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll251:52/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll251:52/info.json
136,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"273,122,3183,3190",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll261:1001/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll261:1001/info.json
137,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"192,1724,4474,4473",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll106:342/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll106:342/info.json
138,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"1055,575,4896,4896",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll114:33/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll114:33/info.json
139,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"992,3164,4736,4740",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll402:53/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll402:53/info.json
140,Spotlight::ExhibitThumbnail,1,,exhibit,,,,,,,,"359,719,1968,1968",https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll391:3501/manifest.json,,,https://cdm16022.contentdm.oclc.org/iiif/2/p16022coll391:3501/info.json
