field,value,exhibit_id
contributing_organization_name_s,"University of Minnesota Libraries, Charles Babbage Institute.",11
contributing_organization_name_s,"University of Minnesota Libraries, The Kerlan Collection of Children's Literature.",12
contributing_organization_name_s,"University of Minnesota Libraries, Archie Givens, Sr. Collection of African American Literature.",13
contributing_organization_name_s,,14
contributing_organization_name_s,"University of Minnesota Libraries, Immigration History Research Center Archives.",15
contributing_organization_name_s,"University of Minnesota Libraries, James Ford Bell Library.",16
contributing_organization_name_s,"University of Minnesota Libraries, Kautz Family YMCA Archives.",17
contributing_organization_name_s,"University of Minnesota Libraries, Northwest Architectural Archives.",18
contributing_organization_name_s,"University of Minnesota Libraries, Performing Arts Archives.",19
contributing_organization_name_s,"University of Minnesota Libraries, Special Collections and Rare Books.",20
contributing_organization_name_s,"University of Minnesota Libraries, Social Welfare History Archives.",21
contributing_organization_name_s,"University of Minnesota Libraries, Special Collections and Rare Books.",22
contributing_organization_name_s,"University of Minnesota Libraries, Jean-Nickolaus Tretter Collection in Gay, Lesbian, Bisexual and Transgender Studies.",23
contributing_organization_name_s,"University of Minnesota Libraries, University Archives.",24
contributing_organization_name_s,"University of Minnesota Libraries, Nathan and Theresa Berman Upper Midwest Jewish Archives.",25
contributing_organization_name_s,"University of Minnesota Libraries, Upper Midwest Literary Archives.",26
contributing_organization_name_s,"University of Minnesota Libraries, Andersen Horticultural Library.",27
contributing_organization_name_s,"University of Minnesota Libraries, Owen H. Wangensteen Historical Library of Biology and Medicine.",28
