title,slug,query_params,weight,published,exhibit_id,thumbnail_id,default_index_view_type,search_box,subtitle
Arthur E. Schneider Papers,Arthur-E-Schneider-Papers,"{""q"":""set_spec:p16022coll487""}",0,TRUE,24,,list,TRUE,
Bell Museum of Natural History Negatives,Bell-Museum-of-Natural-History-Negatives,"{""q"":""set_spec:p16022coll349""}",1,TRUE,24,,list,TRUE,
Bell Museum of Natural History Records,Bell-Museum-of-Natural-History-Records,"{""q"":""set_spec:p16022coll366""}",2,TRUE,24,,list,TRUE,
Bisbila University High School Yearbook,Bisbila-University-High-School-Yearbook,"{""q"":""set_spec:p16022coll337""}",3,TRUE,24,,list,TRUE,
Board of Regents Supplements,Board-of-Regents-Supplements,"{""q"":""set_spec:p16022coll505""}",4,TRUE,24,,list,TRUE,
Campus Maps and Blueprints,Campus-Maps-and-Blueprints,"{""q"":""set_spec:p16022coll244""}",5,TRUE,24,,list,TRUE,
Central Files Records,Central-Files-Records,"{""q"":""set_spec:p16022coll375""}",6,TRUE,24,,list,TRUE,
Cereal Rust Laboratory Records,Cereal-Rust-Laboratory-Records,"{""q"":""set_spec:p16022coll404""}",7,TRUE,24,,list,TRUE,
Chicano Studies Records,Chicano-Studies-Records,"{""q"":""set_spec:p16022coll609""}",8,TRUE,24,,list,TRUE,
Christopher Webber Hall Papers,Christopher-Webber-Hall-Papers,"{""q"":""set_spec:p16022coll241""}",9,TRUE,24,,list,TRUE,
Clarence E. Lund Papers,Clarence-E-Lund-Papers,"{""q"":""set_spec:p16022coll510""}",10,TRUE,24,,list,TRUE,
Cloquet Forestry Center Records,Cloquet-Forestry-Center-Records,"{""q"":""set_spec:p16022coll405""}",11,TRUE,24,,list,TRUE,
Clyde H. Bailey Papers,Clyde-H-Bailey-Papers,"{""q"":""set_spec:p16022coll494""}",12,TRUE,24,,list,TRUE,
College of Agriculture Records,College-of-Agriculture-Records,"{""q"":""set_spec:p16022coll501""}",13,TRUE,24,,list,TRUE,
College of Liberal Arts Records,College-of-Liberal-Arts-Records,"{""q"":""set_spec:p16022coll612""}",14,TRUE,24,,list,TRUE,
Corn Tassel Southern School of Agriculture Yearbooks,Corn-Tassel-Southern-School-of-Agriculture-Yearbooks,"{""q"":""set_spec:p16022coll238""}",15,TRUE,24,,list,TRUE,
Daniel W. Sprague,Daniel-W-Sprague,"{""q"":""set_spec:p16022coll598""}",16,TRUE,24,,list,TRUE,
Department of African and African American Studies Records,Department-of-African-and-African-American-Studies-Records,"{""q"":""set_spec:p16022coll397""}",17,TRUE,24,,list,TRUE,
Department of Botany Print Photograph Collection,Department-of-Botany-Print-Photograph-Collection,"{""q"":""set_spec:p16022coll173""}",18,TRUE,24,,list,TRUE,
Department of Botany Records,Department-of-Botany-Records,"{""q"":""set_spec:p16022coll348""}",19,TRUE,24,,list,TRUE,
