id,tag_id,taggable_id,taggable_type,context
,1,11,Spotlight::Exhibit,tags
,1,12,Spotlight::Exhibit,tags
,1,13,Spotlight::Exhibit,tags
,1,15,Spotlight::Exhibit,tags
,1,16,Spotlight::Exhibit,tags
,1,17,Spotlight::Exhibit,tags
,1,18,Spotlight::Exhibit,tags
,1,19,Spotlight::Exhibit,tags
,1,20,Spotlight::Exhibit,tags
,1,21,Spotlight::Exhibit,tags
,1,22,Spotlight::Exhibit,tags
,1,23,Spotlight::Exhibit,tags
,1,24,Spotlight::Exhibit,tags
,1,25,Spotlight::Exhibit,tags
,1,26,Spotlight::Exhibit,tags
,1,27,Spotlight::Exhibit,tags
,1,28,Spotlight::Exhibit,tags
,1,31,Spotlight::Exhibit,tags
,1,32,Spotlight::Exhibit,tags
,1,40,Spotlight::Exhibit,tags
,1,46,Spotlight::Exhibit,tags
,2,48,Spotlight::Exhibit,tags
,2,49,Spotlight::Exhibit,tags
,2,50,Spotlight::Exhibit,tags
,2,51,Spotlight::Exhibit,tags
,2,52,Spotlight::Exhibit,tags
,2,53,Spotlight::Exhibit,tags
,2,54,Spotlight::Exhibit,tags
,2,55,Spotlight::Exhibit,tags
,2,56,Spotlight::Exhibit,tags
